perspective,taxonomy,metric,init_seed,n_models,dcor,disparity,max_realized_deviation,seconds
structural_all_o,structural,cosine,0,16,0.9663298300772066,0.010026472944776611,0.0006666666666667043,0.21
structural_all_o,structural,cosine,1,16,0.971358295950675,0.008662712177057452,0.0006666666666667043,0.07
structural_all_o,structural,cosine,2,16,0.966648062402523,0.008991566458603923,0.0006666666666667043,0.06
structural_all_o,structural,cosine,3,16,0.9696624082814269,0.009967991756626784,0.0006666666666667043,0.04
structural_all_o,structural,cosine,4,16,0.9704208428610559,0.009397340535458525,0.0006666666666667043,0.06
structural_all_o,structural,cosine,5,16,0.9685314615951247,0.010386852821688438,0.0006666666666667043,0.04
structural_all_o,structural,cosine,6,16,0.9680178961416255,0.00917587540880967,0.0006666666666667043,0.05
structural_all_o,structural,cosine,7,16,0.9698181318427809,0.009306007316573314,0.0006666666666667043,0.07
structural_all_o,structural,cosine,8,16,0.9685750808496751,0.009612629329069665,0.0006666666666667043,0.04
structural_all_o,structural,cosine,9,16,0.9704128082036633,0.009404972757029166,0.0006666666666667043,0.05
structural_all_o,structural,cosine,-1,16,0.9694674539483329,0.009130893738051586,0.0006666666666667043,0.0
functional_all,functional,cosine,0,16,0.9750787645586078,0.007397007763281485,0.0006666666666667043,0.19
functional_all,functional,cosine,1,16,0.9764395974996654,0.006402519779756829,0.0006666666666667043,0.19
functional_all,functional,cosine,2,16,0.9753649852923684,0.007184112771057148,0.0006666666666667043,0.18
functional_all,functional,cosine,3,16,0.9745919874170664,0.008178855215486931,0.0006666666666667043,0.19
functional_all,functional,cosine,4,16,0.9740619726781615,0.007706511605497696,0.0006666666666667043,0.19
functional_all,functional,cosine,5,16,0.9752665176828361,0.00743297986029393,0.0006666666666667043,0.18
functional_all,functional,cosine,6,16,0.9756049040892956,0.007841348371509316,0.0006666666666667043,0.19
functional_all,functional,cosine,7,16,0.9749304045264924,0.007699591280520279,0.0006666666666667043,0.17
functional_all,functional,cosine,8,16,0.9755434948292009,0.007573814634457296,0.0006666666666667043,0.19
functional_all,functional,cosine,9,16,0.9754088370980295,0.006771475149851597,0.0006666666666667043,0.18
functional_all,functional,cosine,-1,16,0.9754306720614135,0.007343340493649335,0.0006666666666667043,0.0
behavioral,behavioral,cosine,0,16,0.938346962804598,0.07472921170908049,0.0006666666666667043,0.21
behavioral,behavioral,cosine,1,16,0.3390085171176954,0.6323778134379527,0.0006666666666667043,0.2
behavioral,behavioral,cosine,2,16,0.5704119374059491,0.2907937810144566,0.0006666666666667043,0.22
behavioral,behavioral,cosine,3,16,0.4191572603294554,0.7183797940412497,0.0006666666666667043,0.22
behavioral,behavioral,cosine,4,16,0.3730305804850009,0.5845766555690071,0.0006666666666667043,0.22
behavioral,behavioral,cosine,5,16,0.5311133844395586,0.3177237785646626,0.0006666666666667043,0.19
behavioral,behavioral,cosine,6,16,0.31069675179366035,0.6438664484561352,0.0006666666666667043,0.22
behavioral,behavioral,cosine,7,16,0.5855489197872894,0.24640196568775175,0.0006666666666667043,0.2
behavioral,behavioral,cosine,8,16,0.40462226832027404,0.7290909158088512,0.0006666666666667043,0.21
behavioral,behavioral,cosine,9,16,0.3791148578712412,0.7176875048825545,0.0006666666666667043,0.21
behavioral,behavioral,cosine,-1,16,0.7360608342508271,0.15726426073749689,0.0006666666666667043,0.0
behavioral_greedy,behavioral,cosine,0,16,0.8210496629530215,0.23509761262007295,0.0006666666666667043,0.16
behavioral_greedy,behavioral,cosine,1,16,0.8732743364088809,0.13223353161312074,0.0006666666666667043,0.15
behavioral_greedy,behavioral,cosine,2,16,0.8821148071386441,0.31301626892962836,0.0006666666666667043,0.16
behavioral_greedy,behavioral,cosine,3,16,0.8688732303714763,0.10327734806780697,0.0006666666666667043,0.14
behavioral_greedy,behavioral,cosine,4,16,0.8691762963330754,0.19020625171841982,0.0006666666666667043,0.14
behavioral_greedy,behavioral,cosine,5,16,0.8689927373918677,0.4757268426127226,0.0006666666666667043,0.14
behavioral_greedy,behavioral,cosine,6,16,0.8494220151323671,0.5326139590929604,0.0006666666666667043,0.17
behavioral_greedy,behavioral,cosine,7,16,0.8470557677829507,0.20135971316958212,0.0006666666666667043,0.18
behavioral_greedy,behavioral,cosine,8,16,0.8588174880260465,0.13953768190546248,0.0006666666666667043,0.14
behavioral_greedy,behavioral,cosine,9,16,0.8630523331722765,0.37599438882885006,0.0006666666666667043,0.15
behavioral_greedy,behavioral,cosine,-1,16,0.9159338965972276,0.10738942998782708,0.0006666666666667043,0.0
