perspective,taxonomy,metric,mixture,n_models,n_within_pairs,n_between_pairs,within_mean,within_sd,between_mean,between_sd,ratio,n_between_same_seed_pairs,between_same_seed_mean,between_same_seed_sd,n_between_diff_seed_pairs,between_diff_seed_mean,between_diff_seed_sd,ratio_same_seed,seconds
structural_all_o,structural,cosine,ALL,160,720,12000,0.6166702031572214,0.010396805282252551,0.7406055163484098,0.12342930838498323,0.832656778196499,1200,0.430547152410191,0.13740370843920932,10800,0.7750564456748784,0.0544162708101423,1.4322942323625154,0.01
structural_all_o,structural,cosine,yahoo_000g1_000g2_100g3_n1000_s00,10,45,1500,0.6186998590728554,0.007413323164819644,0.7983311210445989,0.10151632394752348,0.7749915326654184,150,0.5556150088375937,0.12545130776795613,1350,0.8252995779564885,0.04928468267652897,1.113540579775269,0.01
structural_all_o,structural,cosine,yahoo_000g1_025g2_075g3_n1000_s00,10,45,1500,0.6276136155135471,0.006934437254278897,0.7502694305199602,0.11671254551243752,0.8365176428401078,150,0.4453941774385042,0.11972313709454176,1350,0.7841444586401219,0.04547035118429969,1.4091194885460803,0.01
structural_all_o,structural,cosine,yahoo_000g1_050g2_050g3_n1000_s00,10,45,1500,0.62807178099733,0.00590546031278692,0.7326672298245369,0.12339769538639293,0.8572401704764986,150,0.4029651284829936,0.1174963199777058,1350,0.7693007966402642,0.04432567286023901,1.558625639299795,0.01
structural_all_o,structural,cosine,yahoo_000g1_075g2_025g3_n1000_s00,10,45,1500,0.6215102870253857,0.0051475811024468705,0.7447006670805005,0.1250869137320137,0.8345773201223704,150,0.43387469089968705,0.14499689454976808,1350,0.7792368866561463,0.055872591977914984,1.4324649491230188,0.01
structural_all_o,structural,cosine,yahoo_000g1_100g2_000g3_n1000_s00,10,45,1500,0.6091646022000572,0.005649109197662936,0.7744791475194351,0.1158751823833303,0.7865474547005419,150,0.5062787989887151,0.15224579423162227,1350,0.8042791862450708,0.05884819390982852,1.2032196556854742,0.01
structural_all_o,structural,cosine,yahoo_025g1_000g2_075g3_n1000_s00,10,45,1500,0.6223124610999933,0.008477284626127827,0.7528219919992241,0.11612458067886272,0.8266395877295714,150,0.45498841447741634,0.12366313361773147,1350,0.7859146117238696,0.04829961874781852,1.367754521430528,0.01
structural_all_o,structural,cosine,yahoo_025g1_025g2_050g3_n1000_s00,10,45,1500,0.6194470378266578,0.005277396222474055,0.7108180733402748,0.12588078030955663,0.8714565105467191,150,0.3630245855403748,0.10080635511611288,1350,0.7494617942069305,0.03929580506849944,1.7063500999652383,0.01
structural_all_o,structural,cosine,yahoo_025g1_050g2_025g3_n1000_s00,10,45,1500,0.6181191591301143,0.005055854324368986,0.7088827444343487,0.12917864320693176,0.8719624846043347,150,0.36267185318903844,0.11943155641166438,1350,0.7473506212393832,0.04646066772738152,1.7043483074158692,0.01
structural_all_o,structural,cosine,yahoo_025g1_075g2_000g3_n1000_s00,10,45,1500,0.6146050219663635,0.0071246295045194075,0.7373250886644034,0.12511412035421335,0.8335604354378663,150,0.4245452673212039,0.14054333409074896,1350,0.772078402146981,0.05585860178571262,1.4476784203587965,0.01
