perspective,taxonomy,metric,lora_rank,lora_alpha,n_models,dcor,disparity,max_realized_deviation,seconds
dataset_embedding,dataset_embedding,euclidean,1,2,16,0.9797182502714985,0.015227359060525397,0.0006666666666667043,0.39
dataset_embedding,dataset_embedding,euclidean,2,4,16,0.9797182502714985,0.015227359060525397,0.0006666666666667043,0.29
dataset_embedding,dataset_embedding,euclidean,4,8,16,0.9797182502714985,0.015227359060525397,0.0006666666666667043,0.29
dataset_embedding,dataset_embedding,euclidean,8,16,16,0.9797182502714985,0.015227359060525397,0.0006666666666667043,0.29
dataset_embedding,dataset_embedding,euclidean,16,32,16,0.9797182502714985,0.015227359060525397,0.0006666666666667043,0.04
dataset_embedding,dataset_embedding,euclidean,32,64,16,0.9797182502714985,0.015227359060525397,0.0006666666666667043,0.26
dataset_embedding,dataset_embedding,euclidean,64,128,16,0.9797182502714985,0.015227359060525397,0.0006666666666667043,0.41
dataset_embedding,dataset_embedding,euclidean,128,256,16,0.9797182502714985,0.015227359060525397,0.0006666666666667043,0.29
structural_all_o,structural,cosine,1,2,16,0.5796469786673045,0.5573359944651636,0.0006666666666667043,0.04
structural_all_o,structural,cosine,2,4,16,0.8786788881651674,0.07230292000423046,0.0006666666666667043,0.39
structural_all_o,structural,cosine,4,8,16,0.9361262568642174,0.0461284561435176,0.0006666666666667043,0.39
structural_all_o,structural,cosine,8,16,16,0.9625519736912644,0.01176169369932213,0.0006666666666667043,0.45
structural_all_o,structural,cosine,16,32,16,0.9663298300772066,0.010026472944776611,0.0006666666666667043,0.07
structural_all_o,structural,cosine,32,64,16,0.9687552157590964,0.008323738222670355,0.0006666666666667043,1.22
structural_all_o,structural,cosine,64,128,16,0.9686847728013983,0.00825888546549636,0.0006666666666667043,2.09
structural_all_o,structural,cosine,128,256,16,0.96793519187874,0.009017078053912487,0.0006666666666667043,0.07
structural_all_qkvo,structural,cosine,1,2,16,0.8459144494324021,0.09100777589645326,0.0006666666666667043,0.42
structural_all_qkvo,structural,cosine,2,4,16,0.9357960238070033,0.02518667575161545,0.0006666666666667043,0.46
structural_all_qkvo,structural,cosine,4,8,16,0.959503200391537,0.014526886314297962,0.0006666666666667043,0.57
structural_all_qkvo,structural,cosine,8,16,16,0.9681612902399376,0.01059111295486281,0.0006666666666667043,0.84
structural_all_qkvo,structural,cosine,16,32,16,0.9683371536997292,0.009396966652622012,0.0006666666666667043,0.05
structural_all_qkvo,structural,cosine,32,64,16,0.9688326230093603,0.009220510326357671,0.0006666666666667043,3.66
structural_all_qkvo,structural,cosine,64,128,16,0.9665126738212072,0.009299718070752274,0.0006666666666667043,7.09
structural_all_qkvo,structural,cosine,128,256,16,0.9641177945823644,0.010390480718201957,0.0006666666666667043,17.81
structural_last_o,structural,cosine,1,2,16,0.4250012070049277,0.6654589768938319,0.0006666666666667043,0.31
structural_last_o,structural,cosine,2,4,16,0.982485820875622,0.009857033400581635,0.0006666666666667043,0.27
structural_last_o,structural,cosine,4,8,16,0.698866683403914,0.31872722950068694,0.0006666666666667043,0.33
structural_last_o,structural,cosine,8,16,16,0.852683746766199,0.07303542127906487,0.0006666666666667043,0.35
structural_last_o,structural,cosine,16,32,16,0.930639539112392,0.01571104160097743,0.0006666666666667043,0.06
structural_last_o,structural,cosine,32,64,16,0.9598260401794098,0.00959576600182491,0.0006666666666667043,0.39
structural_last_o,structural,cosine,64,128,16,0.9691471329906267,0.00800886650368789,0.0006666666666667043,0.57
structural_last_o,structural,cosine,128,256,16,0.9713046615778181,0.0085133826539888,0.0006666666666667043,0.56
functional_all,functional,cosine,1,2,16,0.9509952936254585,0.022568487622579837,0.0006666666666667043,3.25
functional_all,functional,cosine,2,4,16,0.9640308793725018,0.020186807771004314,0.0006666666666667043,3.02
functional_all,functional,cosine,4,8,16,0.971985888475918,0.009165702234349874,0.0006666666666667043,2.97
functional_all,functional,cosine,8,16,16,0.9734139172317187,0.006872383971026168,0.0006666666666667043,2.94
functional_all,functional,cosine,16,32,16,0.9750787645586078,0.007397007763281485,0.0006666666666667043,0.21
functional_all,functional,cosine,32,64,16,0.9768155172678332,0.006204579579794632,0.0006666666666667043,3.05
functional_all,functional,cosine,64,128,16,0.9710450290224177,0.0060499622245528285,0.0006666666666667043,2.98
functional_all,functional,cosine,128,256,16,0.9557784809294199,0.01030797873661191,0.0006666666666667043,3.02
functional_last,functional,cosine,1,2,16,0.9580184387343411,0.01975693813541439,0.0006666666666667043,0.66
functional_last,functional,cosine,2,4,16,0.9696855976251115,0.016235338485445394,0.0006666666666667043,0.66
functional_last,functional,cosine,4,8,16,0.974466022599408,0.007642890767094729,0.0006666666666667043,0.69
functional_last,functional,cosine,8,16,16,0.9738868762986961,0.00866844413173462,0.0006666666666667043,0.64
functional_last,functional,cosine,16,32,16,0.9770256434968121,0.007304461976084921,0.0006666666666667043,0.07
functional_last,functional,cosine,32,64,16,0.9747757083366989,0.007352924735377041,0.0006666666666667043,0.68
functional_last,functional,cosine,64,128,16,0.9734678006169045,0.005764805743876438,0.0006666666666667043,0.67
functional_last,functional,cosine,128,256,16,0.9670004895928794,0.008981511000653312,0.0006666666666667043,0.69
behavioral,behavioral,cosine,1,2,16,0.9143609279293494,0.047781670764408514,0.0006666666666667043,0.83
behavioral,behavioral,cosine,2,4,16,0.9382845553188042,0.06767988802547326,0.0006666666666667043,0.76
behavioral,behavioral,cosine,4,8,16,0.9448336747354558,0.06493516918950393,0.0006666666666667043,0.8
behavioral,behavioral,cosine,8,16,16,0.9433917844493815,0.047632209634816396,0.0006666666666667043,0.78
behavioral,behavioral,cosine,16,32,16,0.938346962804598,0.07472921170908049,0.0006666666666667043,0.21
behavioral,behavioral,cosine,32,64,16,0.9313870881619956,0.06585626376533937,0.0006666666666667043,1.03
behavioral,behavioral,cosine,64,128,16,0.9351247111285412,0.0747376506896584,0.0006666666666667043,0.84
behavioral,behavioral,cosine,128,256,16,0.9179066460872103,0.43283873467251965,0.0006666666666667043,0.79
behavioral_greedy,behavioral,cosine,1,2,16,0.8529988551880392,0.07453857340349695,0.0006666666666667043,0.68
behavioral_greedy,behavioral,cosine,2,4,16,0.8022187070213543,0.11153871421880317,0.0006666666666667043,0.69
behavioral_greedy,behavioral,cosine,4,8,16,0.8128158677324125,0.13476815357440877,0.0006666666666667043,0.67
behavioral_greedy,behavioral,cosine,8,16,16,0.8538784170362761,0.12143290160833257,0.0006666666666667043,0.71
behavioral_greedy,behavioral,cosine,16,32,16,0.8210496629530215,0.23509761262007295,0.0006666666666667043,0.15
behavioral_greedy,behavioral,cosine,32,64,16,0.8954155233244757,0.18470149196641683,0.0006666666666667043,0.76
