level,surrogate,metric,dcor,procrustes_d2,procrustes_d3,stress_d2,stress_d3,n_models,matrix_sha256
behavioral,R=16 · per generation,bw,0.840112,0.530095,0.235311,0.357555,0.260343,35,b326cd9b85d134bd
behavioral,R=16 · per query,bw,0.827790,0.488755,0.133431,0.336129,0.233567,35,9fbe195d4d77258a
behavioral,R=16 · per query,cosine,0.821693,0.457882,0.117474,0.273400,0.162680,35,b790d4d5147853a2
behavioral,R=16 · per query,euclidean,0.817596,0.487808,0.141121,0.335466,0.232502,35,c89c96bfbe3b90b7
behavioral,R=16 · per query,frobenius,0.817596,0.487808,0.141121,0.335466,0.232502,35,87e021acf18f2d4b
behavioral,greedy · per generation,bw,0.747977,0.637355,0.438599,0.370185,0.275905,35,6369ac5af69cf962
behavioral,R=16 · per query,cka,0.747518,0.492691,0.236176,0.256362,0.151801,35,e81814abb80cd878
behavioral,greedy · per generation,cosine,0.730592,0.495535,0.177693,0.324338,0.228317,35,4de09b658084350a
behavioral,greedy · per generation,frobenius,0.729296,0.555608,0.467093,0.365681,0.272152,35,f1e961dbcabae675
behavioral,greedy · per generation,euclidean,0.729296,0.555608,0.467093,0.365681,0.272152,35,004111ba62b0597f
behavioral,greedy · per generation,cka,0.631196,0.591528,0.317951,0.318944,0.214181,35,9d405cd12a703dc8
behavioral,R=16 · per generation,cka,0.368490,0.837216,0.647978,0.331572,0.242909,35,258bf1587e5b27e9
behavioral,R=16 · per generation,euclidean,0.366399,0.917768,0.700753,0.372442,0.278123,35,4784ead2bf215241
behavioral,R=16 · per generation,frobenius,0.366399,0.917768,0.700753,0.372442,0.278123,35,ca29d24dddedb280
behavioral,R=16 · per generation,cosine,0.363131,0.776445,0.597837,0.341339,0.249157,35,f228dad815d2361f
functional,all 33 layers (reference),frobenius,0.901079,0.465356,0.086758,0.273635,0.172405,35,fa4a8b7d1ae5a6b0
functional,all 33 layers (reference),euclidean,0.901079,0.465356,0.086758,0.273635,0.172405,35,7eec4ebac6912bee
functional,all 33 layers (reference),bw,0.900587,0.465431,0.086219,0.273424,0.172319,35,78830929d196f377
functional,all 33 layers (reference),cosine,0.899088,0.474454,0.103974,0.194081,0.079103,35,673ad01ef75670d2
functional,h32 · final hidden state,frobenius,0.894785,0.485965,0.134727,0.254791,0.155559,35,1f37e62b599e5a77
functional,h32 · final hidden state,euclidean,0.894785,0.485965,0.134727,0.254791,0.155559,35,beb8aa5901bad617
functional,late third,frobenius,0.894779,0.466269,0.093210,0.264407,0.166575,35,d9c61ec6bfb9db45
functional,late third,euclidean,0.894779,0.466269,0.093210,0.264407,0.166575,35,2928a38c11f3f629
functional,h32 · final hidden state,bw,0.894626,0.486108,0.135078,0.254686,0.155463,35,80b4ab216c5db16f
functional,late third,bw,0.894100,0.466381,0.093346,0.264129,0.166490,35,28993311c84473b8
functional,late third,cosine,0.889707,0.490902,0.122116,0.187789,0.077666,35,d69048241f226876
functional,h32 · final hidden state,cosine,0.880373,0.537744,0.175404,0.180913,0.072406,35,42e1b8e4f163fa96
functional,h32 · final hidden state,cka,0.827013,0.463161,0.183948,0.197531,0.098104,35,a9519057c62603bb
functional,all 33 layers (reference),cka,0.677726,0.547422,0.332272,0.153425,0.094111,35,a9b1d66a8e99b692
functional,late third,cka,0.641063,0.551833,0.378196,0.143363,0.103934,35,9f059fc212088488
structural,middle third,cosine,0.924518,0.405899,0.041775,0.255059,0.142865,35,172755e6b55fbe95
structural,q_proj (whole),cosine,0.922554,0.417885,0.049014,0.254410,0.144942,35,fd58991263e637f6
structural,middle third,frobenius,0.919010,0.392015,0.062721,0.321110,0.219830,35,1e16588c5a395532
structural,"q,k,v (dim-pure)",cosine,0.918365,0.416477,0.049430,0.253345,0.145179,35,bef1f7995b614f16
