level,surrogate,metric,dcor,procrustes_d2,procrustes_d3,stress_d2,stress_d3,n_models,matrix_sha256
behavioral,R=16 · per generation,cosine,0.870342,0.482358,0.157148,0.360517,0.259988,35,9fd034956c4a3abf
behavioral,R=16 · per generation,bw,0.869042,0.452009,0.160461,0.353994,0.255404,35,c4ccd67bfc429da4
behavioral,R=16 · per generation,frobenius,0.868276,0.666152,0.592582,0.383041,0.289435,35,df3e5a8b22daf174
behavioral,R=16 · per generation,euclidean,0.868276,0.666152,0.592582,0.383041,0.289435,35,0d5ddaf88c435b58
behavioral,R=16 · per query,bw,0.852423,0.459018,0.110159,0.341638,0.233261,35,2604b11d53117b2d
behavioral,R=16 · per query,cosine,0.839190,0.488018,0.107887,0.278586,0.163543,35,1fcd4b8f9de0ade6
behavioral,R=16 · per query,euclidean,0.837578,0.443452,0.117916,0.335056,0.230132,35,e7dd60f72ceead94
behavioral,R=16 · per query,frobenius,0.837578,0.443452,0.117916,0.335056,0.230132,35,6faf3ac75ad93405
behavioral,R=16 · per generation,cka,0.817001,0.517021,0.183791,0.353156,0.253210,35,dfc1127c404c9637
behavioral,greedy · per generation,bw,0.809574,0.533299,0.577892,0.371852,0.280144,35,e99e1e6556334ead
behavioral,greedy · per generation,euclidean,0.795361,0.511202,0.577653,0.368700,0.276636,35,b6dd8bcc3dfb0833
behavioral,greedy · per generation,frobenius,0.795361,0.511202,0.577653,0.368700,0.276636,35,82b0e1a111419cf3
behavioral,greedy · per generation,cosine,0.794824,0.448563,0.171097,0.337412,0.236220,35,34477d83044f0a23
behavioral,R=16 · per query,cka,0.772647,0.520089,0.193623,0.267962,0.153383,35,8b6f6b24f2ba83c2
behavioral,greedy · per generation,cka,0.689892,0.510499,0.225423,0.329798,0.228126,35,a601fa72f5904228
functional,all 41 layers (reference),cosine,0.890849,0.449873,0.083409,0.206244,0.092864,35,95353ec7df92bdd3
functional,all 41 layers (reference),euclidean,0.890476,0.473510,0.084052,0.284160,0.179778,35,4ac0348198e16604
functional,all 41 layers (reference),frobenius,0.890476,0.473510,0.084052,0.284160,0.179778,35,451469073d4d765c
functional,all 41 layers (reference),bw,0.890144,0.458851,0.084335,0.281507,0.179568,35,a732dcf8309295b4
functional,late third,euclidean,0.887775,0.447594,0.091047,0.276341,0.176203,35,eac909d0274efe5f
functional,late third,frobenius,0.887775,0.447594,0.091047,0.276341,0.176203,35,5e93d5b9a787f738
functional,h40 · final hidden state,euclidean,0.887722,0.460672,0.097167,0.264184,0.167987,35,aac23ae6f1400efb
functional,h40 · final hidden state,frobenius,0.887722,0.460672,0.097167,0.264184,0.167987,35,1cab4192c6b6b331
functional,late third,bw,0.887315,0.447911,0.091614,0.275940,0.175847,35,1792dc5f0bb79d09
functional,late third,cosine,0.886536,0.468479,0.091238,0.208351,0.090990,35,77f34668a479f2f2
functional,h40 · final hidden state,bw,0.886514,0.462038,0.100404,0.263125,0.167067,35,9e5f93b8f41b9a7a
functional,h40 · final hidden state,cosine,0.882196,0.477459,0.121584,0.188010,0.083371,35,eef9890c7aea10fa
functional,h40 · final hidden state,cka,0.843736,0.405710,0.110610,0.222056,0.127168,35,deb90c31907be50d
functional,late third,cka,0.772562,0.420355,0.289063,0.187796,0.099331,35,28c335d54afd5e66
functional,all 41 layers (reference),cka,0.759584,0.420952,0.215145,0.165796,0.101778,35,515659a8eb0776ae
structural,middle third,cosine,0.919271,0.406672,0.043115,0.263109,0.155052,35,97b781ba9cbfd327
structural,q_proj (whole),cosine,0.915388,0.408900,0.045554,0.270590,0.164980,35,660e4ee2f2bc3911
structural,k_proj,cosine,0.913835,0.410905,0.050160,0.268177,0.163129,35,70e7828e348225ff
structural,middle third,frobenius,0.913436,0.397883,0.067304,0.326327,0.226409,35,90c85765d36b261c
structural,"q,k,v (dim-pure)",cosine,0.913014,0.409490,0.046563,0.267962,0.162730,35,ece262ef247d266e
structural,k_proj,frobenius,0.910658,0.439993,0.080899,0.338351,0.232116,35,82da29f43490f2a9
structural,all layers · all projections,cosine,0.910482,0.409511,0.046071,0.260885,0.155432,35,f1f1c1573d1e4e95
structural,q_proj (whole),frobenius,0.909006,0.400636,0.073224,0.331373,0.232069,35,78e81d6da27cf1a5
structural,late third,cosine,0.908553,0.410317,0.046352,0.259076,0.152391,35,bf4c689829e5d5e5
structural,early third,cosine,0.907597,0.407995,0.054758,0.293498,0.193602,35,648b357da37dc435
structural,"q,k,v (dim-pure)",frobenius,0.906993,0.395952,0.073052,0.330342,0.230877,35,5063b44443cff882
structural,output projections,cosine,0.906781,0.409636,0.046707,0.251628,0.145825,35,6b4a56e57f4d3157
structural,all layers · all projections,frobenius,0.905024,0.400201,0.126494,0.325668,0.230114,35,cd1a33ecb283d9c9
structural,early third,frobenius,0.904732,0.422335,0.206882,0.344686,0.254314,35,049332d27e7293fd
structural,output projections,frobenius,0.902009,0.393855,0.121450,0.320017,0.224111,35,a964b1e434cb608d
structural,late third,frobenius,0.900755,0.431881,0.142607,0.324192,0.228575,35,65f15160d6d462ce
structural,v_proj,cosine,0.898813,0.410448,0.050948,0.254365,0.150837,35,02007f1d5dd17924
