level,surrogate,metric,dcor,procrustes_d2,procrustes_d3,stress_d2,stress_d3,n_models,matrix_sha256
behavioral,greedy · per generation,bw,0.829227,0.560587,0.210204,0.362245,0.263436,35,f32c47dd5164e5c3
behavioral,greedy · per generation,cosine,0.817694,0.437115,0.122124,0.303647,0.207619,35,ef0a87504cbf51bd
behavioral,greedy · per generation,frobenius,0.811607,0.589668,0.202975,0.360951,0.258286,35,eb60a43252601684
behavioral,greedy · per generation,euclidean,0.811607,0.589668,0.202975,0.360951,0.258286,35,21bbd80fa685ee80
behavioral,R=16 · per query,cosine,0.783180,0.401219,0.139990,0.246971,0.147693,35,0f45ca8fc474fc8d
behavioral,R=16 · per query,bw,0.779242,0.436440,0.119221,0.326837,0.228607,35,24c7970f411e629c
behavioral,R=16 · per query,frobenius,0.774830,0.419683,0.123223,0.319747,0.223258,35,4b0ae77190449899
behavioral,R=16 · per query,euclidean,0.774830,0.419683,0.123223,0.319747,0.223258,35,c2da9331042c5491
behavioral,R=16 · per query,cka,0.770763,0.418034,0.152366,0.213488,0.107235,35,f16bcdb307d936ae
behavioral,greedy · per generation,cka,0.762780,0.459246,0.209302,0.282747,0.189220,35,3aefa044eee17957
behavioral,R=16 · per generation,bw,0.753192,0.530848,0.363367,0.356969,0.258823,35,0f2a902470d98721
behavioral,R=16 · per generation,cka,0.381396,0.702478,0.657917,0.318262,0.231916,35,b4cfc165c2dc87ce
behavioral,R=16 · per generation,frobenius,0.328433,0.873246,0.715228,0.364548,0.271137,35,6a98089e9408a4cb
behavioral,R=16 · per generation,euclidean,0.328433,0.873246,0.715228,0.364548,0.271137,35,d698a0db38eff8f8
behavioral,R=16 · per generation,cosine,0.322088,0.711281,0.528806,0.325368,0.234314,35,b81c4724ba8be42e
functional,all 17 layers (reference),frobenius,0.940312,0.402332,0.056209,0.277743,0.160059,35,6b7811a846a71bff
functional,all 17 layers (reference),euclidean,0.940312,0.402332,0.056209,0.277743,0.160059,35,a7ff575542c9013f
functional,all 17 layers (reference),bw,0.940260,0.402325,0.056185,0.277660,0.159980,35,e583ac0826752310
functional,all 17 layers (reference),cosine,0.938599,0.404710,0.061297,0.216547,0.066762,35,e0835bfd10100887
functional,late third,euclidean,0.933573,0.400919,0.060856,0.272057,0.156146,35,ed49b048ef456d1c
functional,late third,frobenius,0.933573,0.400919,0.060856,0.272057,0.156146,35,8f464ada872df5fe
functional,late third,bw,0.933200,0.401043,0.061033,0.271971,0.156137,35,9e8913fc030c84f5
functional,late third,cosine,0.928162,0.470196,0.078613,0.208595,0.071341,35,a1c7bc4c4054519c
functional,late third,cka,0.918584,0.410893,0.091039,0.205417,0.069751,35,12362b542daab83f
functional,h16 · final hidden state,cka,0.912113,0.419387,0.124394,0.190502,0.067985,35,542e0648a9c7471a
functional,h16 · final hidden state,euclidean,0.897810,0.462983,0.080488,0.260802,0.157368,35,ff30ec52eb0bf37d
functional,h16 · final hidden state,frobenius,0.897810,0.462983,0.080488,0.260802,0.157368,35,80abbf1082540ef9
functional,h16 · final hidden state,bw,0.897096,0.463064,0.081020,0.260656,0.157359,35,c9668a3d9821320f
functional,h16 · final hidden state,cosine,0.889510,0.484522,0.112384,0.193674,0.087253,35,c7df6c3abb4c5b49
functional,all 17 layers (reference),cka,0.832632,0.469646,0.141596,0.188693,0.095704,35,0f64cba9c2f38aac
structural,output projections,cosine,0.941368,0.419524,0.037539,0.227334,0.098947,35,7029731617f7cce4
structural,late third,cosine,0.940335,0.405180,0.027681,0.229177,0.096777,35,80413073ec96b8fa
structural,q_proj (whole),cosine,0.940013,0.406164,0.031977,0.236700,0.106876,35,f122d01811876c95
structural,k_proj,cosine,0.939167,0.404781,0.030588,0.226535,0.095930,35,09af306a338c2ea0
structural,all layers · all projections,cosine,0.938982,0.410490,0.034383,0.227560,0.098705,35,2cd6806bcebecb9d
structural,middle third,cosine,0.938468,0.405430,0.032635,0.228656,0.097497,35,5ed4b5eb5cabcf03
structural,"q,k,v (dim-pure)",cosine,0.937705,0.407795,0.032319,0.227911,0.098751,35,b704e0fd62e83cb1
structural,output projections,frobenius,0.936886,0.408147,0.051038,0.299107,0.194662,35,50f4d4556f4c0037
structural,q_proj (whole),frobenius,0.934636,0.404791,0.050887,0.304467,0.196427,35,557c26904ebe0119
structural,late third,frobenius,0.934349,0.405241,0.047546,0.301126,0.190790,35,a5005b5b3b793c02
