level,surrogate,metric,dcor,procrustes_d2,procrustes_d3,stress_d2,stress_d3,n_models,matrix_sha256
behavioral,R=16 · per query,bw,0.797801,0.560357,0.355875,0.359787,0.266333,35,0490f8d4287ef323
behavioral,R=16 · per query,cosine,0.789398,0.441437,0.185919,0.312218,0.212223,35,627a4c39d980a9e2
behavioral,R=16 · per query,frobenius,0.788031,0.497732,0.347837,0.356078,0.263086,35,a31d425cb778fbf5
behavioral,R=16 · per query,euclidean,0.788031,0.497732,0.347837,0.356078,0.263086,35,81c18a5a9768494c
behavioral,greedy · per generation,bw,0.778950,0.622988,0.417971,0.375273,0.285093,35,8fb9af8abd11b2b1
behavioral,R=16 · per generation,bw,0.767183,0.623221,0.580298,0.372503,0.280978,35,af56b1e86399cf86
behavioral,greedy · per generation,cosine,0.754768,0.693084,0.289707,0.348955,0.254253,35,ffed85bf9113c5ec
behavioral,R=16 · per query,cka,0.754546,0.459008,0.239233,0.273769,0.181921,35,01ab889a38e4dd80
behavioral,greedy · per generation,euclidean,0.749489,0.637166,0.540442,0.373563,0.285392,35,a105bd734ad463c9
behavioral,greedy · per generation,frobenius,0.749489,0.637166,0.540442,0.373563,0.285392,35,0b110d36abcf1998
behavioral,greedy · per generation,cka,0.569738,0.705155,0.440467,0.339540,0.239199,35,4871cde1262bb9e9
behavioral,R=16 · per generation,cka,0.549037,0.851842,0.513781,0.365150,0.269886,35,2f956e9725a78320
behavioral,R=16 · per generation,euclidean,0.542274,0.870301,0.715526,0.385660,0.290031,35,c9f271717988cbb1
behavioral,R=16 · per generation,frobenius,0.542274,0.870301,0.715526,0.385660,0.290031,35,b2b030f96d16ff2d
behavioral,R=16 · per generation,cosine,0.538033,0.762717,0.565279,0.367100,0.274443,35,2b7704ce1166bc2b
functional,all 33 layers (reference),bw,0.920589,0.407631,0.062792,0.258591,0.148689,35,34224c4b6947c5da
functional,all 33 layers (reference),frobenius,0.920515,0.407650,0.062804,0.258590,0.148707,35,83903758003fac31
functional,all 33 layers (reference),euclidean,0.920515,0.407650,0.062804,0.258590,0.148707,35,5362e7b6b06b70d8
functional,late third,bw,0.918185,0.406065,0.063078,0.251506,0.141846,35,9b8208c84b5b4eb9
functional,late third,frobenius,0.918046,0.405551,0.063150,0.251530,0.141908,35,3fc3fc92cb50dc9c
functional,late third,euclidean,0.918046,0.405551,0.063150,0.251530,0.141908,35,05e230e649915951
functional,all 33 layers (reference),cosine,0.910441,0.404333,0.088856,0.182829,0.060550,35,a7eb438a374bb4f6
functional,late third,cosine,0.906971,0.404075,0.094100,0.177326,0.063034,35,602318f9b7125157
functional,h32 · final hidden state,bw,0.893913,0.402949,0.068512,0.226100,0.125224,35,30107dc1cff840be
functional,h32 · final hidden state,frobenius,0.893385,0.403035,0.068916,0.226318,0.125449,35,7b6742b267e17fab
functional,h32 · final hidden state,euclidean,0.893385,0.403035,0.068916,0.226318,0.125449,35,918250fd9b4b67c0
functional,h32 · final hidden state,cosine,0.881177,0.412476,0.122587,0.148875,0.071091,35,ec3a182c255843a2
functional,h32 · final hidden state,cka,0.676963,0.478624,0.439184,0.178780,0.178312,35,c80c8909c0248a2f
functional,all 33 layers (reference),cka,0.632874,0.555528,0.438516,0.173684,0.157275,35,931a2375be9a47f3
functional,late third,cka,0.629393,0.553682,0.480596,0.171082,0.147559,35,02ba42db40ac0323
structural,q_proj (whole),cosine,0.966411,0.357112,0.020710,0.246776,0.109849,35,9353883ebc440c25
structural,late third,cosine,0.965373,0.356248,0.021863,0.239195,0.101898,35,bf2bad4e6679d805
structural,"q,k,v (dim-pure)",cosine,0.965193,0.358485,0.020187,0.245613,0.108332,35,b39d817ae98f2a70
structural,middle third,cosine,0.963898,0.359863,0.018501,0.250760,0.108853,35,a10fa64d0bca56e8
structural,all layers · all projections,cosine,0.963434,0.358751,0.019593,0.239795,0.100368,35,a242e93b335dde70
structural,k_proj,cosine,0.963209,0.360446,0.021297,0.248694,0.115520,35,ef6072da730f8442
structural,q_proj (whole),frobenius,0.958906,0.371643,0.043796,0.307041,0.197976,35,4992d9530664022b
structural,output projections,cosine,0.957280,0.378851,0.021624,0.230437,0.088411,35,03ae2b295d87676c
structural,"q,k,v (dim-pure)",frobenius,0.957263,0.371838,0.045288,0.307564,0.197963,35,a934ffbc4b457b36
structural,late third,frobenius,0.956523,0.371820,0.044254,0.301153,0.192729,35,b015a5e79d98092d
structural,middle third,frobenius,0.956125,0.368105,0.044982,0.308335,0.198399,35,9ca404a1925acb43
structural,all layers · all projections,frobenius,0.955450,0.402042,0.045584,0.307340,0.193765,35,a0de8192aa8cdab3
structural,early third,cosine,0.955172,0.360920,0.023214,0.254290,0.122763,35,77da4f876276cbc5
structural,k_proj,frobenius,0.953976,0.369304,0.050609,0.312160,0.203844,35,aa9a2fe508eee559
structural,v_proj,cosine,0.950572,0.378476,0.022990,0.228855,0.093605,35,56d5ad5496aea9fa
structural,output projections,frobenius,0.948322,0.395649,0.047007,0.299068,0.186696,35,d5c1a72d88ab4005
structural,early third,frobenius,0.945863,0.442759,0.053841,0.323538,0.208157,35,55705a55ee0f7d84
structural,v_proj,frobenius,0.940299,0.391538,0.049599,0.300283,0.190240,35,7ace6d23678db988
structural,layer 31 · o_proj,cosine,0.851503,0.433219,0.114826,0.152338,0.047347,35,0bcf5c05c51adff8
structural,layer 31 · o_proj,frobenius,0.846047,0.384156,0.072113,0.237827,0.149120,35,873e24050083882e
dataset_embedding,dataset text · mean · n500_s00,frobenius,0.990001,0.347710,0.010289,0.179569,0.015524,35,70b5c006d71505a7
dataset_embedding,dataset text · mean · n500_s00,euclidean,0.984964,0.345166,0.011346,0.167795,0.013315,35,81b351311d5e0784
dataset_embedding,dataset text · mean · n500_s00,cosine,0.962803,0.358092,0.054303,0.243808,0.210945,35,4d13bf2e39777722
