level,surrogate,metric,dcor,procrustes_d2,procrustes_d3,stress_d2,stress_d3,n_models,matrix_sha256
behavioral,R=16 · per query,bw,0.837041,0.486400,0.301554,0.352688,0.259509,35,5ae22636de7ad8a7
behavioral,R=16 · per query,cosine,0.825095,0.416813,0.097748,0.293124,0.194941,35,91fb6c30831a4fb7
behavioral,R=16 · per query,euclidean,0.824207,0.544596,0.280219,0.350812,0.257725,35,7cdd68b31bc41408
behavioral,R=16 · per query,frobenius,0.824207,0.544596,0.280219,0.350812,0.257725,35,cf7985ddd45bb99a
behavioral,R=16 · per generation,bw,0.817421,0.620850,0.589089,0.370363,0.278357,35,40e01d4a3e5cdf35
behavioral,R=16 · per query,cka,0.790433,0.428609,0.127485,0.257914,0.166257,35,2cb82ecef44c8b3c
behavioral,greedy · per generation,bw,0.789309,0.749343,0.619252,0.377231,0.286453,35,d39c19cfb3bc48f9
behavioral,greedy · per generation,cosine,0.768294,0.749780,0.278995,0.353104,0.253043,35,321bbbcd9f8fd1ce
behavioral,greedy · per generation,euclidean,0.762665,0.752155,0.572150,0.376385,0.284471,35,3a4a212082f63a1a
behavioral,greedy · per generation,frobenius,0.762665,0.752155,0.572150,0.376385,0.284471,35,8380c4a809b584a8
behavioral,R=16 · per generation,cosine,0.647909,0.815182,0.582004,0.375682,0.283917,35,3971a6c28cade15b
behavioral,R=16 · per generation,frobenius,0.647867,0.918365,0.869788,0.387755,0.296093,35,962f50fb4da045d4
behavioral,R=16 · per generation,euclidean,0.647867,0.918365,0.869788,0.387755,0.296093,35,0c9122612480d3d5
behavioral,R=16 · per generation,cka,0.646606,0.880168,0.759667,0.370472,0.279945,35,1d0d95bbaa9479db
behavioral,greedy · per generation,cka,0.572050,0.740083,0.606856,0.343656,0.245467,35,6f0893292e8b1080
functional,all 41 layers (reference),bw,0.918663,0.398216,0.068039,0.281535,0.164458,35,c874d5cdbe9096c1
functional,all 41 layers (reference),frobenius,0.918526,0.398318,0.068771,0.281573,0.164605,35,c2ca0275937d7d6a
functional,all 41 layers (reference),euclidean,0.918526,0.398318,0.068771,0.281573,0.164605,35,320ec8401ad24bad
functional,all 41 layers (reference),cosine,0.916881,0.404122,0.060250,0.221101,0.089449,35,a4e53a4800640623
functional,late third,bw,0.914520,0.403041,0.070043,0.277440,0.161328,35,fa8f96f98c09261e
functional,h40 · final hidden state,bw,0.914416,0.386730,0.071156,0.268041,0.149651,35,b54fdb5d47156a56
functional,late third,frobenius,0.914335,0.403197,0.070075,0.277463,0.161523,35,38c66c7aedc57081
functional,late third,euclidean,0.914335,0.403197,0.070075,0.277463,0.161523,35,7a95cc0e540d4cef
functional,late third,cosine,0.912423,0.405498,0.064406,0.216252,0.089889,35,196941773ecd4f3f
functional,h40 · final hidden state,frobenius,0.912064,0.389250,0.072190,0.268658,0.150547,35,43963e339a97d703
functional,h40 · final hidden state,euclidean,0.912064,0.389250,0.072190,0.268658,0.150547,35,233626fe30e612d1
functional,h40 · final hidden state,cosine,0.907339,0.385061,0.073578,0.201570,0.079773,35,6af08193c3053944
functional,late third,cka,0.758065,0.462234,0.239734,0.162743,0.103102,35,b49dd833fedc7796
functional,all 41 layers (reference),cka,0.682693,0.643571,0.407907,0.158455,0.116198,35,d6910a68e3b5a21c
functional,h40 · final hidden state,cka,0.682383,0.595553,0.411297,0.163432,0.104966,35,fe7c32ee7a4d1395
structural,v_proj,cosine,0.963319,0.362463,0.019918,0.249248,0.109413,35,919054b2ff948416
structural,late third,cosine,0.963119,0.359486,0.019516,0.252775,0.113283,35,7c869ee92acc30a2
structural,all layers · all projections,cosine,0.962205,0.362601,0.021007,0.253526,0.115060,35,0a20c97660ef04d8
structural,"q,k,v (dim-pure)",cosine,0.961969,0.366138,0.021802,0.257350,0.121751,35,11d753a26b61ea49
structural,q_proj (whole),cosine,0.961918,0.366127,0.021711,0.258183,0.122999,35,e7dc7a56eb04df39
structural,output projections,cosine,0.961229,0.362350,0.020609,0.248905,0.106893,35,c7c9af00a7f0e301
structural,k_proj,cosine,0.958679,0.366450,0.024401,0.258753,0.126652,35,e537a0e271c305f7
