level,surrogate,metric,dcor,procrustes_d2,procrustes_d3,stress_d2,stress_d3,n_models,matrix_sha256
behavioral,greedy · per generation,bw,0.811760,0.526923,0.452010,0.371010,0.276184,35,bcf48c27dc20af5c
behavioral,greedy · per generation,cosine,0.802245,0.470911,0.249630,0.331533,0.234581,35,9d48eaea72d0bbce
behavioral,greedy · per generation,euclidean,0.798254,0.553619,0.485195,0.366311,0.272788,35,8556db364881fdc0
behavioral,greedy · per generation,frobenius,0.798254,0.553619,0.485195,0.366311,0.272788,35,017655ef2e25209e
behavioral,greedy · per generation,cka,0.683941,0.488915,0.360031,0.311955,0.216288,35,e1d81fdb3a437634
behavioral,R=16 · per generation,bw,0.682707,0.651922,0.656278,0.380612,0.286339,35,3291a80e50bb4bba
behavioral,R=16 · per query,bw,0.674219,0.686659,0.435921,0.364172,0.270411,35,c5f93d5994d63c2e
behavioral,R=16 · per query,euclidean,0.670382,0.642231,0.382718,0.360256,0.266670,35,0233f07fa6769750
behavioral,R=16 · per query,frobenius,0.670382,0.642231,0.382718,0.360256,0.266670,35,6b4a14911fb70c52
behavioral,R=16 · per query,cosine,0.668297,0.592061,0.262264,0.319169,0.223068,35,555ccaf892e0827a
behavioral,R=16 · per query,cka,0.651475,0.555657,0.291815,0.266313,0.176047,35,cf82781295f51f23
behavioral,R=16 · per generation,cka,0.432318,0.692501,0.628503,0.338048,0.255827,35,6be756b5350beb5a
behavioral,R=16 · per generation,frobenius,0.427991,0.744014,0.730240,0.370983,0.282868,35,b50eae715682beae
behavioral,R=16 · per generation,euclidean,0.427991,0.744014,0.730240,0.370983,0.282868,35,5151c861351b2b4a
behavioral,R=16 · per generation,cosine,0.414229,0.717918,0.657969,0.341565,0.257069,35,628004ca1cc492f7
functional,h16 · final hidden state,bw,0.936650,0.398811,0.066085,0.246132,0.111964,35,b586f630ee704f8f
functional,h16 · final hidden state,frobenius,0.936204,0.399151,0.066948,0.245509,0.111329,35,c13b95323d7afce8
functional,h16 · final hidden state,euclidean,0.936204,0.399151,0.066948,0.245509,0.111329,35,5130b13fde7d3195
functional,all 17 layers (reference),bw,0.928752,0.397692,0.061965,0.260558,0.133118,35,9ff56ab6b32a5ecd
functional,all 17 layers (reference),euclidean,0.928701,0.397858,0.062095,0.260558,0.133068,35,ea1b581d34b1ac79
functional,all 17 layers (reference),frobenius,0.928701,0.397858,0.062095,0.260558,0.133068,35,dc50a428f488b555
functional,h16 · final hidden state,cosine,0.923906,0.396828,0.079042,0.200565,0.089025,35,1cad0ff3ee98f030
functional,late third,bw,0.922251,0.398220,0.070314,0.242963,0.117050,35,4f21d0a2c08a44a4
functional,late third,euclidean,0.922225,0.398106,0.070547,0.242983,0.116959,35,e7220ed5b1ac07c6
functional,late third,frobenius,0.922225,0.398106,0.070547,0.242983,0.116959,35,5ad68f89fb6b5c1b
functional,all 17 layers (reference),cosine,0.919101,0.393255,0.068573,0.198364,0.072119,35,15254f0e6c0fb9a2
functional,late third,cosine,0.909268,0.398688,0.088720,0.187977,0.083185,35,9592e78d7571ea11
functional,h16 · final hidden state,cka,0.772612,0.420905,0.241210,0.152959,0.131410,35,adb828cad3acc6e5
functional,all 17 layers (reference),cka,0.685513,0.539181,0.351326,0.170023,0.151793,35,e54744ab80bc3cdf
functional,late third,cka,0.679473,0.540366,0.380316,0.163427,0.148684,35,75df1382d835d333
structural,late third,cosine,0.968547,0.363827,0.015068,0.223276,0.068674,35,dd90e64b32175125
structural,v_proj,cosine,0.968262,0.361502,0.015697,0.225687,0.063901,35,c9fc072fe896d26a
structural,"q,k,v (dim-pure)",cosine,0.967965,0.363681,0.014000,0.231013,0.077593,35,9f17e545dd4dfb32
structural,all layers · all projections,cosine,0.967868,0.363360,0.014756,0.230259,0.075039,35,752ed9ee79ddb6d2
structural,k_proj,cosine,0.966698,0.361974,0.014626,0.231403,0.079041,35,0ae8e9135039e9f5
structural,middle third,cosine,0.965595,0.363066,0.013639,0.232156,0.083443,35,02b955a169811de2
structural,output projections,cosine,0.963307,0.360161,0.020350,0.226858,0.067768,35,7407cdc2a08b05e0
structural,q_proj (whole),cosine,0.962321,0.360366,0.016898,0.234140,0.089451,35,0a4f0abcc9999427
structural,late third,frobenius,0.958972,0.367135,0.044388,0.288359,0.172157,35,b30adb402efad93b
structural,early third,cosine,0.958852,0.358247,0.020082,0.238375,0.089224,35,ffc75fc56ec04fb3
structural,all layers · all projections,frobenius,0.958735,0.388801,0.044531,0.297454,0.178187,35,faf516943bff02f8
structural,k_proj,frobenius,0.958581,0.370460,0.044822,0.298924,0.180137,35,d85c266db984c94e
structural,"q,k,v (dim-pure)",frobenius,0.958569,0.385539,0.043515,0.298961,0.179365,35,46dd0def1b19b630
structural,middle third,frobenius,0.957659,0.365398,0.040221,0.294169,0.180682,35,94ec8da4e55c7d42
structural,v_proj,frobenius,0.957549,0.392129,0.046652,0.291965,0.169512,35,7f8f60bcb19e30e2
structural,output projections,frobenius,0.954423,0.373702,0.047138,0.289157,0.174392,35,8d556c33d4d7cd7d
structural,q_proj (whole),frobenius,0.952173,0.368767,0.044802,0.297127,0.185902,35,8ac2bdb7fed88ae2
