perspective,taxonomy,metric,arm,yahoo_pct,seed,recipe_hash,n_models,dcor,disparity
behavioral,behavioral,cosine,none,100,0,075110fbec1c029d,16,0.9274223974373731,0.05692127824699032
behavioral,behavioral,cosine,none,100,-1,075110fbec1c029d,16,0.9274223974373731,0.05692127824699032
behavioral,behavioral,cosine,dolly,0,0,8681960d93a5b6ea,16,0.9193890041644277,0.08734441973330237
behavioral,behavioral,cosine,dolly,0,-1,8681960d93a5b6ea,16,0.9193890041644277,0.08734441973330237
behavioral,behavioral,cosine,dolly,1,0,0de2947692b67dfc,16,0.9279722144827458,0.05199978770478175
behavioral,behavioral,cosine,dolly,1,-1,0de2947692b67dfc,16,0.9279722144827458,0.05199978770478175
behavioral,behavioral,cosine,dolly,2,0,6fb2618a7434a299,16,0.9287281332947217,0.0533398584221796
behavioral,behavioral,cosine,dolly,2,-1,6fb2618a7434a299,16,0.9287281332947217,0.0533398584221796
behavioral,behavioral,cosine,dolly,5,0,07f88bdaebd3b7ab,16,0.9241322295265455,0.04996523811818036
behavioral,behavioral,cosine,dolly,5,-1,07f88bdaebd3b7ab,16,0.9241322295265455,0.04996523811818036
behavioral,behavioral,cosine,dolly,10,0,8e5b0f6d84c51963,16,0.9134910253107285,0.07921133742725342
behavioral,behavioral,cosine,dolly,10,-1,8e5b0f6d84c51963,16,0.9134910253107285,0.07921133742725342
behavioral,behavioral,cosine,dolly,20,0,2ab287cebf1f6dea,16,0.9185720044985508,0.0566554224038866
behavioral,behavioral,cosine,dolly,20,-1,2ab287cebf1f6dea,16,0.9185720044985508,0.0566554224038866
behavioral,behavioral,cosine,dolly,50,0,0dbd67e7438756b6,16,0.9200853874644132,0.054541451355156485
behavioral,behavioral,cosine,dolly,50,-1,0dbd67e7438756b6,16,0.9200853874644132,0.054541451355156485
behavioral,behavioral,cosine,oasst1zh,0,0,f955b5f9dae55e43,16,0.8031879509682118,0.10878855154576987
behavioral,behavioral,cosine,oasst1zh,0,-1,f955b5f9dae55e43,16,0.8031879509682118,0.10878855154576987
behavioral,behavioral,cosine,oasst1zh,1,0,b091b8988cbb6a58,16,0.8128218105655943,0.14983515551368534
behavioral,behavioral,cosine,oasst1zh,1,-1,b091b8988cbb6a58,16,0.8128218105655943,0.14983515551368534
behavioral,behavioral,cosine,oasst1zh,2,0,ea0668cee875e147,16,0.8095761897170896,0.11737702764601668
behavioral,behavioral,cosine,oasst1zh,2,-1,ea0668cee875e147,16,0.8095761897170896,0.11737702764601668
behavioral,behavioral,cosine,oasst1zh,5,0,27487cd55abf4841,16,0.8253578092661807,0.09052797300821133
behavioral,behavioral,cosine,oasst1zh,5,-1,27487cd55abf4841,16,0.8253578092661807,0.09052797300821133
behavioral,behavioral,cosine,oasst1zh,10,0,91ce4fa316fd6a77,16,0.8230082174214552,0.08162115967665363
behavioral,behavioral,cosine,oasst1zh,10,-1,91ce4fa316fd6a77,16,0.8230082174214552,0.08162115967665363
behavioral,behavioral,cosine,oasst1zh,20,0,a46716ecb508390a,16,0.8104822386626163,0.09291518099737966
behavioral,behavioral,cosine,oasst1zh,20,-1,a46716ecb508390a,16,0.8104822386626163,0.09291518099737966
behavioral,behavioral,cosine,oasst1zh,50,0,ea6d22c7bded0d7b,16,0.8741406480661091,0.06380984146516011
behavioral,behavioral,cosine,oasst1zh,50,-1,ea6d22c7bded0d7b,16,0.8741406480661091,0.06380984146516011
behavioral_greedy,behavioral,cosine,none,100,0,075110fbec1c029d,16,0.879775711515746,0.12504538632824572
behavioral_greedy,behavioral,cosine,none,100,-1,075110fbec1c029d,16,0.879775711515746,0.12504538632824572
behavioral_greedy,behavioral,cosine,dolly,0,0,8681960d93a5b6ea,16,0.8488219539391824,0.1285940991469013
behavioral_greedy,behavioral,cosine,dolly,0,-1,8681960d93a5b6ea,16,0.8488219539391824,0.1285940991469013
behavioral_greedy,behavioral,cosine,dolly,1,0,0de2947692b67dfc,16,0.84469372130234,0.20963038466707384
behavioral_greedy,behavioral,cosine,dolly,1,-1,0de2947692b67dfc,16,0.84469372130234,0.20963038466707384
behavioral_greedy,behavioral,cosine,dolly,2,0,6fb2618a7434a299,16,0.8119926510883495,0.21992002596009205
behavioral_greedy,behavioral,cosine,dolly,2,-1,6fb2618a7434a299,16,0.8119926510883495,0.21992002596009205
behavioral_greedy,behavioral,cosine,dolly,5,0,07f88bdaebd3b7ab,16,0.8397198758871651,0.11967009032127046
behavioral_greedy,behavioral,cosine,dolly,5,-1,07f88bdaebd3b7ab,16,0.8397198758871651,0.11967009032127046
behavioral_greedy,behavioral,cosine,dolly,10,0,8e5b0f6d84c51963,16,0.83659900757518,0.09741341546633991
behavioral_greedy,behavioral,cosine,dolly,10,-1,8e5b0f6d84c51963,16,0.83659900757518,0.09741341546633991
behavioral_greedy,behavioral,cosine,dolly,20,0,2ab287cebf1f6dea,16,0.8677022193900081,0.08846223137529882
behavioral_greedy,behavioral,cosine,dolly,20,-1,2ab287cebf1f6dea,16,0.8677022193900081,0.08846223137529882
behavioral_greedy,behavioral,cosine,dolly,50,0,0dbd67e7438756b6,16,0.8844958967475762,0.14563059361563896
behavioral_greedy,behavioral,cosine,dolly,50,-1,0dbd67e7438756b6,16,0.8844958967475762,0.14563059361563896
behavioral_greedy,behavioral,cosine,oasst1zh,0,0,f955b5f9dae55e43,16,0.7516171942576819,0.3095459708251353
behavioral_greedy,behavioral,cosine,oasst1zh,0,-1,f955b5f9dae55e43,16,0.7516171942576819,0.3095459708251353
behavioral_greedy,behavioral,cosine,oasst1zh,1,0,b091b8988cbb6a58,16,0.7577875611414105,0.3050000276788968
behavioral_greedy,behavioral,cosine,oasst1zh,1,-1,b091b8988cbb6a58,16,0.7577875611414105,0.3050000276788968
behavioral_greedy,behavioral,cosine,oasst1zh,2,0,ea0668cee875e147,16,0.7516687671429727,0.246742555249625
behavioral_greedy,behavioral,cosine,oasst1zh,2,-1,ea0668cee875e147,16,0.7516687671429727,0.246742555249625
behavioral_greedy,behavioral,cosine,oasst1zh,5,0,27487cd55abf4841,16,0.7407371429227732,0.22956099637710836
behavioral_greedy,behavioral,cosine,oasst1zh,5,-1,27487cd55abf4841,16,0.7407371429227732,0.22956099637710836
behavioral_greedy,behavioral,cosine,oasst1zh,10,0,91ce4fa316fd6a77,16,0.729354389246499,0.5893299104377251
behavioral_greedy,behavioral,cosine,oasst1zh,10,-1,91ce4fa316fd6a77,16,0.729354389246499,0.5893299104377251
behavioral_greedy,behavioral,cosine,oasst1zh,20,0,a46716ecb508390a,16,0.7593871362792688,0.20636674628888294
behavioral_greedy,behavioral,cosine,oasst1zh,20,-1,a46716ecb508390a,16,0.7593871362792688,0.20636674628888294
behavioral_greedy,behavioral,cosine,oasst1zh,50,0,ea6d22c7bded0d7b,16,0.8042698843262773,0.18303397485741485
behavioral_greedy,behavioral,cosine,oasst1zh,50,-1,ea6d22c7bded0d7b,16,0.8042698843262773,0.18303397485741485
functional_all,functional,cosine,none,100,0,075110fbec1c029d,16,0.9751261779960486,0.007723284388935927
functional_all,functional,cosine,none,100,-1,075110fbec1c029d,16,0.9751261779960486,0.007723284388935927
functional_all,functional,cosine,dolly,0,0,8681960d93a5b6ea,16,0.9723434815162986,0.009518621851407689
functional_all,functional,cosine,dolly,0,-1,8681960d93a5b6ea,16,0.9723434815162986,0.009518621851407689
functional_all,functional,cosine,dolly,1,0,0de2947692b67dfc,16,0.9723422745406742,0.009579773102448346
functional_all,functional,cosine,dolly,1,-1,0de2947692b67dfc,16,0.9723422745406742,0.009579773102448346
functional_all,functional,cosine,dolly,2,0,6fb2618a7434a299,16,0.972385151870037,0.009460932350086866
functional_all,functional,cosine,dolly,2,-1,6fb2618a7434a299,16,0.972385151870037,0.009460932350086866
functional_all,functional,cosine,dolly,5,0,07f88bdaebd3b7ab,16,0.9724506906887067,0.009397887827529223
functional_all,functional,cosine,dolly,5,-1,07f88bdaebd3b7ab,16,0.9724506906887067,0.009397887827529223
functional_all,functional,cosine,dolly,10,0,8e5b0f6d84c51963,16,0.9725175249158534,0.009387267134821029
functional_all,functional,cosine,dolly,10,-1,8e5b0f6d84c51963,16,0.9725175249158534,0.009387267134821029
functional_all,functional,cosine,dolly,20,0,2ab287cebf1f6dea,16,0.9725574980165066,0.009154968029546493
functional_all,functional,cosine,dolly,20,-1,2ab287cebf1f6dea,16,0.9725574980165066,0.009154968029546493
functional_all,functional,cosine,dolly,50,0,0dbd67e7438756b6,16,0.9733000151755365,0.008902379088152303
functional_all,functional,cosine,dolly,50,-1,0dbd67e7438756b6,16,0.9733000151755365,0.008902379088152303
functional_all,functional,cosine,oasst1zh,0,0,f955b5f9dae55e43,16,0.9710650282542561,0.009842371669826329
functional_all,functional,cosine,oasst1zh,0,-1,f955b5f9dae55e43,16,0.9710650282542561,0.009842371669826329
functional_all,functional,cosine,oasst1zh,1,0,b091b8988cbb6a58,16,0.9710948185798617,0.009835746043298881
functional_all,functional,cosine,oasst1zh,1,-1,b091b8988cbb6a58,16,0.9710948185798617,0.009835746043298881
functional_all,functional,cosine,oasst1zh,2,0,ea0668cee875e147,16,0.9711404848767198,0.009738497736398753
functional_all,functional,cosine,oasst1zh,2,-1,ea0668cee875e147,16,0.9711404848767198,0.009738497736398753
functional_all,functional,cosine,oasst1zh,5,0,27487cd55abf4841,16,0.9713804169693443,0.009595835329199696
functional_all,functional,cosine,oasst1zh,5,-1,27487cd55abf4841,16,0.9713804169693443,0.009595835329199696
functional_all,functional,cosine,oasst1zh,10,0,91ce4fa316fd6a77,16,0.9717224854865167,0.009322118369847386
functional_all,functional,cosine,oasst1zh,10,-1,91ce4fa316fd6a77,16,0.9717224854865167,0.009322118369847386
functional_all,functional,cosine,oasst1zh,20,0,a46716ecb508390a,16,0.9720260903872588,0.009014780653913729
functional_all,functional,cosine,oasst1zh,20,-1,a46716ecb508390a,16,0.9720260903872588,0.009014780653913729
functional_all,functional,cosine,oasst1zh,50,0,ea6d22c7bded0d7b,16,0.973257480305582,0.008587369276972392
functional_all,functional,cosine,oasst1zh,50,-1,ea6d22c7bded0d7b,16,0.973257480305582,0.008587369276972392
functional_last,functional,cosine,none,100,0,075110fbec1c029d,16,0.9766840704043706,0.007535702614489988
functional_last,functional,cosine,none,100,-1,075110fbec1c029d,16,0.9766840704043706,0.007535702614489988
functional_last,functional,cosine,dolly,0,0,8681960d93a5b6ea,16,0.975194794283237,0.008091557875784004
functional_last,functional,cosine,dolly,0,-1,8681960d93a5b6ea,16,0.975194794283237,0.008091557875784004
functional_last,functional,cosine,dolly,1,0,0de2947692b67dfc,16,0.9752895033352804,0.008086460626399838
functional_last,functional,cosine,dolly,1,-1,0de2947692b67dfc,16,0.9752895033352804,0.008086460626399838
