level,surrogate,metric,dcor,procrustes,stress,n_models,matrix_sha256
behavioral,T=1.0 · R=8 · per query,frobenius,0.823375,0.430964,0.346320,16,71af47dba28c5791
behavioral,T=1.0 · R=8 · per query,euclidean,0.823375,0.430964,0.346320,16,216c458a3275284d
behavioral,T=1.0 · R=8 · per query,cosine,0.820287,0.228430,0.315318,16,908d88bf5c7b2214
behavioral,T=0.3 · R=8 · per query,cosine,0.809515,0.192290,0.286820,16,fa7278710d09d171
behavioral,T=0.2 · R=8 · per query,cosine,0.803132,0.216598,0.292745,16,a9cf68cc6ed40337
behavioral,T=0.3 · R=8 · per query,euclidean,0.802875,0.729218,0.339458,16,b871cfa9d5febf76
behavioral,T=0.3 · R=8 · per query,frobenius,0.802875,0.729218,0.339458,16,218d069db86d35d9
behavioral,T=0.2 · R=8 · per query,euclidean,0.800951,0.687483,0.338128,16,7077cf2682110875
behavioral,T=0.2 · R=8 · per query,frobenius,0.800951,0.687483,0.338128,16,e5fecfb749ef240b
behavioral,T=0.4 · R=8 · per query,cosine,0.800051,0.417132,0.300076,16,281600bbc4203843
behavioral,T=0.4 · R=8 · per query,frobenius,0.797911,0.721604,0.340228,16,82607f20ba2de917
behavioral,T=0.4 · R=8 · per query,euclidean,0.797911,0.721604,0.340228,16,5111c6469d977df0
behavioral,T=0.7 · R=8 · per query,cka,0.795940,0.338392,0.304025,16,bf19a48d6d50a82f
behavioral,T=0.4 · R=8 · per query,cka,0.795576,0.405272,0.292319,16,2f104547fa5d6f4f
behavioral,T=0.1 · R=8 · per query,cosine,0.788605,0.358147,0.314343,16,9fac7ea52df01a9c
behavioral,T=0.1 · R=8 · per query,euclidean,0.784141,0.726724,0.343836,16,71e8513e59d3573e
behavioral,T=0.1 · R=8 · per query,frobenius,0.784141,0.726724,0.343836,16,d5f3c08ab08d5125
behavioral,T=0.3 · R=8 · per query,cka,0.781068,0.201379,0.278332,16,26272a622e1d0781
behavioral,T=1.0 · R=8 · per query,cka,0.779409,0.379155,0.327196,16,69dca542e1f7c790
behavioral,T=0.6 · R=8 · per query,cka,0.777823,0.184077,0.291661,16,0d3dcd641cb75b2d
behavioral,T=0.5 · R=8 · per query,cosine,0.774574,0.334771,0.301547,16,9fde78c371864714
behavioral,T=0.5 · R=8 · per query,frobenius,0.774201,0.351410,0.333237,16,1b97e18390bc64b2
behavioral,T=0.5 · R=8 · per query,euclidean,0.774201,0.351410,0.333237,16,78935ee93a9e8982
behavioral,T=0.7 · R=8 · per query,frobenius,0.772205,0.528326,0.342479,16,24508eb3e4e0b6e7
behavioral,T=0.7 · R=8 · per query,euclidean,0.772205,0.528326,0.342479,16,211c607088a2c43e
behavioral,T=0.7 · R=8 · per query,cosine,0.770223,0.304438,0.304357,16,bd2e41bd2dc7bafd
behavioral,T=0.6 · R=8 · per query,frobenius,0.764615,0.586253,0.339847,16,5685f3cf0da88a01
behavioral,T=0.6 · R=8 · per query,euclidean,0.764615,0.586253,0.339847,16,6cbcb708de11fbf0
behavioral,T=0.5 · R=8 · per query,cka,0.763129,0.341878,0.297023,16,42e84fe1169b5fe8
behavioral,T=0.6 · R=8 · per query,cosine,0.762792,0.247249,0.300171,16,8480d9b20603e939
behavioral,T=0.2 · R=8 · per query,cka,0.750157,0.473468,0.304398,16,373d05d3f13a9f8e
behavioral,T=0.8 · R=8 · per query,euclidean,0.749417,0.709066,0.348298,16,7186fcc877df9c75
behavioral,T=0.8 · R=8 · per query,frobenius,0.749417,0.709066,0.348298,16,eb082a6f5a03c7d7
behavioral,T=0.8 · R=8 · per query,cosine,0.747383,0.504537,0.320793,16,a00329a1b041cd72
behavioral,greedy · per generation,cosine,0.746232,0.745845,0.340375,16,877c1a2cd8528971
behavioral,greedy · per generation,frobenius,0.743699,0.905656,0.356958,16,4ec0650b9e4565b5
behavioral,greedy · per generation,euclidean,0.743699,0.905656,0.356958,16,7ea85f18098c863a
behavioral,T=0.9 · R=8 · per query,frobenius,0.733948,0.733659,0.349543,16,68c1e37db80d0b04
behavioral,T=0.9 · R=8 · per query,euclidean,0.733948,0.733659,0.349543,16,bbe632b0c18212e0
behavioral,T=0.1 · R=8 · per query,cka,0.732943,0.283153,0.304589,16,568948cf0eb9e925
behavioral,T=0.9 · R=8 · per query,cosine,0.732342,0.427836,0.322477,16,91ee6f428300a9af
behavioral,T=0.9 · R=8 · per query,cka,0.731812,0.759854,0.318894,16,8e67639d21675407
behavioral,T=0.8 · R=8 · per query,cka,0.728038,0.619463,0.316223,16,ad1b309db85bd13a
behavioral,greedy · per generation,cka,0.644962,0.828155,0.330446,16,fbc421996dbf4046
