level,rung,metric,dcor,procrustes,stress,n_models,matrix_sha256
behavioral,R=16 · per query,cka,0.816359,0.197292,0.288007,16,f12d6ffaee3df955
behavioral,R=16 · per query,frobenius,0.794205,0.300970,0.333917,16,281891cd9a6e8515
behavioral,R=16 · per query,euclidean,0.794205,0.300970,0.333917,16,1c0aa7e356b856cd
behavioral,R=16 · per query,cosine,0.789490,0.320951,0.296130,16,bbebf9000c59fcc0
behavioral,greedy · per generation,cosine,0.746232,0.745845,0.340375,16,877c1a2cd8528971
behavioral,greedy · per generation,frobenius,0.743699,0.905656,0.356958,16,4ec0650b9e4565b5
behavioral,greedy · per generation,euclidean,0.743699,0.905656,0.356958,16,7ea85f18098c863a
behavioral,R=16 · per query,bw,0.739190,0.614434,0.334704,16,5470c081b367d5b3
behavioral,R=16 · per generation · whitened,cosine,0.735687,0.846454,0.362539,16,82a27e31357d51ae
behavioral,R=16 · per generation · whitened,frobenius,0.729247,0.868825,0.364508,16,59a896c5f790d282
behavioral,R=16 · per generation · centered,cosine,0.723428,0.830131,0.359132,16,415c7e0c0fb41fb6
behavioral,R=16 · per generation · centered,frobenius,0.721774,0.942174,0.363755,16,2d51be01e4f94bae
behavioral,R=16 · per generation · whitened,euclidean,0.719952,0.897890,0.361785,16,75aa5bdffc95baff
behavioral,R=16 · per generation,frobenius,0.706954,0.868483,0.360346,16,7e3e77b0e6d579d2
behavioral,R=16 · per generation,euclidean,0.706954,0.868483,0.360346,16,7dfd87784c5f2333
behavioral,greedy · per generation,bw,0.703892,0.885010,0.356070,16,f81f1e5238106242
behavioral,R=16 · per generation,cosine,0.701715,0.713660,0.350011,16,4acaee143ae3b0c8
behavioral,R=16 · per generation,cka,0.672918,0.633874,0.349876,16,87e8b8b034effd02
behavioral,R=16 · per generation · whitened,bw,0.645609,0.856380,0.361566,16,73798a7e286e3ef8
behavioral,greedy · per generation,cka,0.644962,0.828155,0.330446,16,fbc421996dbf4046
behavioral,R=16 · per generation,bw,0.607658,0.667708,0.342561,16,62ddacf1a16fe393
behavioral,R=16 · per generation · whitened,energy,0.475060,0.523461,0.236135,16,3c787ac61f1a71da
behavioral,R=16 · per generation · whitened,mmd,0.467392,0.523489,0.235476,16,57c86ed9a69f9335
behavioral,R=16 · per generation · centered,bw,0.442530,0.787476,0.354959,16,e571d424780eb75e
behavioral,greedy · model mean,frobenius,0.291520,0.608040,0.240023,16,f6f0e741c11e00d5
behavioral,greedy · model mean,euclidean,0.291520,0.608040,0.240023,16,1e2d8e6f7469cb40
behavioral,greedy · model mean,cosine,0.271847,0.648213,0.135498,16,8d055a09d3c1dd36
behavioral,R=16 · model mean · centered,cosine,0.268534,0.831564,0.158087,16,40fe0ba6505583bb
behavioral,R=16 · model mean · centered,frobenius,0.258755,0.872618,0.234245,16,3980ac48ba98a6b6
behavioral,R=16 · per generation,energy,0.220601,0.811859,0.086377,16,006fedaac293e9a7
behavioral,R=16 · per generation · centered,energy,0.217448,0.784910,0.133317,16,cd49ce8dd761c78b
behavioral,R=16 · per generation · centered,mmd,0.217323,0.779993,0.133237,16,700fe7a31cfcd107
behavioral,R=16 · per generation,mmd,0.215574,0.813302,0.084753,16,07f3f00591f5a6c1
behavioral,R=16 · model mean,cosine,0.208001,0.842880,0.180073,16,09445c4543d419a0
behavioral,R=16 · model mean,euclidean,0.206355,0.824184,0.161024,16,cd7ba7736effb16e
behavioral,R=16 · model mean,frobenius,0.206355,0.824184,0.161024,16,268b31258517712d
behavioral,R=16 · per query,mmd,0.196101,0.890967,0.728823,16,2b9479b244f196f4
behavioral,greedy · per generation,mmd,0.179672,0.862614,0.425367,16,321ec0ac16822837
behavioral,greedy · per generation,energy,0.177432,0.863385,0.459382,16,305bef517fe43317
behavioral,R=16 · per query,energy,0.161931,0.903854,0.797735,16,ddf863d82780f00a
behavioral,R=16 · per generation · centered,cka,-0.547875,0.952285,0.365204,16,4544a29fdf44f283
behavioral,R=16 · per generation · whitened,cka,-0.674080,0.877298,0.365689,16,ba6e77e0c382a117
functional,h32 · final hidden state,cosine,0.974634,0.007465,0.091885,16,cb2475649a1b5ef0
functional,late third,cosine,0.972856,0.009786,0.104719,16,dc5504eab2289908
functional,full-attn outputs,cosine,0.970126,0.010663,0.119690,16,ab94ad42814c9b16
functional,all 33 layers (reference),cosine,0.968737,0.011775,0.124845,16,42aae6808e0cc1e9
functional,linear-attn outputs,cosine,0.967918,0.011962,0.127253,16,07ed26f8e3d32fa5
functional,h32 · final hidden state,frobenius,0.964008,0.024003,0.219319,16,53e03f13bbc5f3bc
functional,h32 · final hidden state,euclidean,0.964008,0.024003,0.219319,16,90dddeac0cdc5a40
functional,h32 · final hidden state,bw,0.963952,0.023733,0.218672,16,42ecd8d81bb6537d
functional,late third,bw,0.963021,0.027209,0.225892,16,9f8beb1203518789
functional,late third,frobenius,0.962964,0.027385,0.226451,16,201b947e5731064c
functional,late third,euclidean,0.962964,0.027385,0.226451,16,5dd7b07766cddca0
functional,full-attn outputs,bw,0.959850,0.029611,0.235598,16,e474adbd160a7d2f
functional,full-attn outputs,euclidean,0.959788,0.029709,0.235909,16,ef65e89e9857dfd0
functional,full-attn outputs,frobenius,0.959788,0.029709,0.235909,16,dac39e80820ed7ff
functional,late third,energy,0.959366,0.020975,0.197373,16,db07cd007ce1d9ca
functional,all 33 layers (reference),bw,0.958512,0.030673,0.238351,16,3f8e01b400f69895
functional,all 33 layers (reference),euclidean,0.958426,0.030757,0.238654,16,ca5150394e61cb95
functional,all 33 layers (reference),frobenius,0.958426,0.030757,0.238654,16,fd1b804b02d8033e
functional,late third,mmd,0.958244,0.022575,0.206317,16,42395feaedbd09d8
functional,linear-attn outputs,bw,0.957723,0.031214,0.239576,16,2a8952d78cc1b44f
functional,linear-attn outputs,frobenius,0.957625,0.031297,0.239891,16,d917bf89f467a4f3
functional,linear-attn outputs,euclidean,0.957625,0.031297,0.239891,16,5662ae5c97ca6550
functional,h32 · final hidden state,energy,0.957261,0.019981,0.203817,16,d37c6aafe5c1d244
functional,middle third,cosine,0.957102,0.018263,0.152200,16,ccaebb7ddd7ac033
functional,full-attn outputs,energy,0.955946,0.022109,0.200341,16,986a2d807b996cc1
functional,full-attn outputs,mmd,0.955459,0.024419,0.209782,16,0455fbe2c6b53f09
functional,late third · centered,energy,0.954944,0.038385,0.253738,16,f60baa7519acc6d9
functional,all 33 layers (reference),mmd,0.954781,0.024207,0.207027,16,02749b5bcb7f9f2e
functional,all 33 layers (reference),energy,0.954613,0.022192,0.196794,16,35cd7748435f5e21
functional,linear-attn outputs,mmd,0.954169,0.024599,0.207618,16,0cd5cf67f7ba1646
functional,linear-attn outputs,energy,0.953892,0.022424,0.197327,16,21b8f0da33a03540
functional,h32 · final hidden state,mmd,0.953521,0.022295,0.215498,16,19e54346fe603589
functional,h16 · mid-stack (full-attn),cosine,0.952358,0.020635,0.157205,16,dd60744f6fa9d779
functional,late third · centered,frobenius,0.952195,0.097032,0.260509,16,cb6f4aecab3e2298
functional,all 33 layers · centered,energy,0.951791,0.041705,0.260911,16,8165419b9128cd1d
functional,h1 · first linear-attn,cosine,0.950685,0.026900,0.163833,16,c5f8394996697b4b
functional,all 33 layers · centered,frobenius,0.948589,0.095897,0.268761,16,03cc2dcb7f2c81b4
functional,middle third,bw,0.947234,0.038123,0.252827,16,f9a1d903d7cb76a2
functional,middle third,frobenius,0.947000,0.038129,0.253184,16,e6b351abfd695046
functional,middle third,euclidean,0.947000,0.038129,0.253184,16,19eff57e6cd831d1
functional,late third · centered,cosine,0.946285,0.081048,0.184894,16,16debfe912c48efb
functional,early third,cosine,0.946283,0.017733,0.170422,16,090c821e7675c7d6
functional,h4 · first full-attn,cosine,0.945633,0.021123,0.180783,16,84b387d4a8ce1bb2
functional,h32 · final hidden state,cka,0.944033,0.043690,0.130931,16,8483709fd3606589
functional,all 33 layers · centered,cosine,0.944006,0.075288,0.196199,16,0c306dc48bdd6a1f
functional,h16 · mid-stack (full-attn),bw,0.942672,0.065742,0.257328,16,29daf713de60ced0
functional,h16 · mid-stack (full-attn),frobenius,0.942496,0.065941,0.257771,16,aee2509130f03dbd
functional,h16 · mid-stack (full-attn),euclidean,0.942496,0.065941,0.257771,16,c3254a4527f5cd37
functional,h1 · first linear-attn,euclidean,0.941435,0.191694,0.272486,16,db0fcf73377b8f2c
functional,h1 · first linear-attn,frobenius,0.941435,0.191694,0.272486,16,e551ff8a5a531ec1
functional,h1 · first linear-attn,bw,0.941382,0.191761,0.272496,16,b5b11cbdf7d8618f
functional,middle third,mmd,0.940889,0.032119,0.212889,16,dd3b859e9fca0a00
functional,all 33 layers · centered,mmd,0.939874,0.116663,0.310256,16,c9bd0b7dcbf4af80
functional,middle third,energy,0.939229,0.029793,0.199935,16,9de76d1c6cb47e1f
functional,late third · centered,mmd,0.939106,0.147594,0.318598,16,01a72caca591b42d
functional,h1 · first linear-attn,energy,0.936413,0.210624,0.270600,16,d3ec26f0b46db275
functional,early third,bw,0.934585,0.038587,0.263820,16,063d153305672113
