level,surrogate,metric,dcor,procrustes,stress,n_models,matrix_sha256
behavioral,R=16 · per query,cka,0.816359,0.197292,0.288007,16,f12d6ffaee3df955
behavioral,R=16 · per query,frobenius,0.794205,0.300970,0.333917,16,281891cd9a6e8515
behavioral,R=16 · per query,euclidean,0.794205,0.300970,0.333917,16,1c0aa7e356b856cd
behavioral,R=16 · per query,cosine,0.789490,0.320951,0.296130,16,bbebf9000c59fcc0
behavioral,greedy · per generation,cosine,0.746232,0.745845,0.340375,16,877c1a2cd8528971
behavioral,greedy · per generation,frobenius,0.743699,0.905656,0.356958,16,4ec0650b9e4565b5
behavioral,greedy · per generation,euclidean,0.743699,0.905656,0.356958,16,7ea85f18098c863a
behavioral,R=16 · per query,bw,0.739190,0.614434,0.334704,16,5470c081b367d5b3
behavioral,R=16 · per generation,frobenius,0.706954,0.868483,0.360346,16,7e3e77b0e6d579d2
behavioral,R=16 · per generation,euclidean,0.706954,0.868483,0.360346,16,7dfd87784c5f2333
behavioral,greedy · per generation,bw,0.703892,0.885010,0.356070,16,f81f1e5238106242
behavioral,R=16 · per generation,cosine,0.701715,0.713660,0.350011,16,4acaee143ae3b0c8
behavioral,R=16 · per generation,cka,0.672918,0.633874,0.349876,16,87e8b8b034effd02
behavioral,greedy · per generation,cka,0.644962,0.828155,0.330446,16,fbc421996dbf4046
behavioral,R=16 · per generation,bw,0.607658,0.667708,0.342561,16,62ddacf1a16fe393
functional,h32 · final hidden state,cosine,0.974634,0.007465,0.091885,16,cb2475649a1b5ef0
functional,late third,cosine,0.972856,0.009786,0.104719,16,dc5504eab2289908
functional,full-attn outputs,cosine,0.970126,0.010663,0.119690,16,ab94ad42814c9b16
functional,all 33 layers (reference),cosine,0.968737,0.011775,0.124845,16,42aae6808e0cc1e9
functional,h32 · final hidden state,frobenius,0.964008,0.024003,0.219319,16,53e03f13bbc5f3bc
functional,h32 · final hidden state,euclidean,0.964008,0.024003,0.219319,16,90dddeac0cdc5a40
functional,h32 · final hidden state,bw,0.963952,0.023733,0.218672,16,42ecd8d81bb6537d
functional,late third,bw,0.963021,0.027209,0.225892,16,9f8beb1203518789
functional,late third,frobenius,0.962964,0.027385,0.226451,16,201b947e5731064c
functional,late third,euclidean,0.962964,0.027385,0.226451,16,5dd7b07766cddca0
functional,full-attn outputs,bw,0.959850,0.029611,0.235598,16,e474adbd160a7d2f
functional,full-attn outputs,euclidean,0.959788,0.029709,0.235909,16,ef65e89e9857dfd0
functional,full-attn outputs,frobenius,0.959788,0.029709,0.235909,16,dac39e80820ed7ff
functional,all 33 layers (reference),bw,0.958512,0.030673,0.238351,16,3f8e01b400f69895
functional,all 33 layers (reference),euclidean,0.958426,0.030757,0.238654,16,ca5150394e61cb95
functional,all 33 layers (reference),frobenius,0.958426,0.030757,0.238654,16,fd1b804b02d8033e
functional,h32 · final hidden state,cka,0.944033,0.043690,0.130931,16,8483709fd3606589
functional,full-attn outputs,cka,0.916846,0.038611,0.161884,16,143c3c807ac0eec1
functional,late third,cka,0.915423,0.041135,0.148986,16,b888677dea09c5df
functional,all 33 layers (reference),cka,0.904647,0.040687,0.161593,16,2f1b7ba28d095fd7
structural,full-attn · late third,cosine,0.968289,0.008224,0.137090,16,330d90fe73f5f177
structural,full-attn · q_proj (whole),cosine,0.965046,0.009862,0.153890,16,47998698caedae4e
structural,all layers · all projections,cosine,0.964525,0.009739,0.148683,16,2562c083720d52c3
structural,"full-attn · q,k,v (d_in 2560)",cosine,0.964270,0.009970,0.154305,16,56ab8c3bc9614827
structural,full-attn · middle third,cosine,0.961915,0.010490,0.159954,16,3810a377fb0a2b9e
structural,full-attn · k_proj,cosine,0.960054,0.010909,0.154342,16,ea5751addf65e6b4
structural,full-attn · late third,frobenius,0.955827,0.028058,0.244066,16,0069c4016b22a844
structural,full-attn · v_proj,cosine,0.955423,0.011754,0.160704,16,7dd80b121fe13b35
structural,output projections (d_in 4096),cosine,0.952596,0.012083,0.165340,16,826af2b500dc1612
structural,full-attn · early third,cosine,0.952469,0.014991,0.184632,16,8f09becf5a6fad76
structural,full-attn · q_proj (whole),frobenius,0.952188,0.031649,0.254753,16,2c397402a48faea2
structural,all layers · all projections,frobenius,0.951503,0.029873,0.251822,16,00803d66461c1c6e
structural,"full-attn · q,k,v (d_in 2560)",frobenius,0.951041,0.031815,0.255349,16,2553e59ec24074ab
structural,full-attn · middle third,frobenius,0.947443,0.033757,0.259482,16,d87181e8a177aa76
structural,full-attn · k_proj,frobenius,0.945353,0.032356,0.257191,16,5ee455a31289ac72
structural,full-attn · early third,frobenius,0.938710,0.057729,0.274796,16,6a1c878b69d13c52
structural,full-attn · v_proj,frobenius,0.938586,0.038207,0.260818,16,fa118c10169b6413
structural,output projections (d_in 4096),frobenius,0.935188,0.034100,0.263233,16,8487b6eb64208333
dataset_embedding,dataset text · mean · n1000_s00,frobenius,0.979952,0.015251,0.013959,16,9aa61ba7b0d93a57
dataset_embedding,dataset text · mean · n1000_s00,euclidean,0.979718,0.015227,0.013489,16,0a6cf5360b0557ab
dataset_embedding,dataset text · mean · n1000_s00,cosine,0.937095,0.075994,0.253430,16,49782cfdbdb340b8
