n,replicate,shuffle_id,n_disjoint,members
5,0,0,199,yahoo_026g1_032g2_042g3 yahoo_053g1_043g2_004g3 yahoo_052g1_019g2_029g3 yahoo_059g1_014g2_027g3 yahoo_028g1_011g2_061g3
5,1,0,199,yahoo_004g1_077g2_019g3 yahoo_033g1_008g2_059g3 yahoo_001g1_026g2_073g3 yahoo_033g1_057g2_010g3 yahoo_048g1_001g2_051g3
5,2,0,199,yahoo_036g1_047g2_017g3 yahoo_013g1_007g2_080g3 yahoo_022g1_051g2_027g3 yahoo_003g1_039g2_058g3 yahoo_003g1_067g2_030g3
5,3,0,199,yahoo_002g1_066g2_032g3 yahoo_071g1_000g2_029g3 yahoo_054g1_015g2_031g3 yahoo_006g1_058g2_036g3 yahoo_034g1_049g2_017g3
5,4,0,199,yahoo_002g1_073g2_025g3 yahoo_012g1_049g2_039g3 yahoo_009g1_058g2_033g3 yahoo_022g1_009g2_069g3 yahoo_034g1_024g2_042g3
5,5,0,199,yahoo_028g1_049g2_023g3 yahoo_084g1_002g2_014g3 yahoo_031g1_017g2_052g3 yahoo_081g1_015g2_004g3 yahoo_018g1_008g2_074g3
5,6,0,199,yahoo_023g1_036g2_041g3 yahoo_060g1_040g2_000g3 yahoo_053g1_035g2_012g3 yahoo_090g1_005g2_005g3 yahoo_003g1_047g2_050g3
5,7,0,199,yahoo_059g1_005g2_036g3 yahoo_014g1_082g2_004g3 yahoo_011g1_070g2_019g3 yahoo_008g1_030g2_062g3 yahoo_059g1_028g2_013g3
5,8,0,199,yahoo_021g1_005g2_074g3 yahoo_001g1_053g2_046g3 yahoo_005g1_009g2_086g3 yahoo_070g1_012g2_018g3 yahoo_004g1_058g2_038g3
5,9,0,199,yahoo_016g1_044g2_040g3 yahoo_036g1_019g2_045g3 yahoo_024g1_032g2_044g3 yahoo_066g1_012g2_022g3 yahoo_074g1_004g2_022g3
5,10,0,199,yahoo_032g1_053g2_015g3 yahoo_001g1_021g2_078g3 yahoo_050g1_004g2_046g3 yahoo_045g1_002g2_053g3 yahoo_028g1_003g2_069g3
